Auckland,n. the largest city and principal port of New Zealand
ownership,"n. the relation of an owner to the thing possessed; possession with the right to transfer possession to others
n. the state or fact of being an owner"
unrest,n. a feeling of restless agitation
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
bungee jumping,none
bungy jumping,none
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
suspension,"n. a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
n. an interruption in the intensity or amount of something
n. a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle
n. the act of suspending something (hanging it from above so it moves freely)"
appetite,n. a feeling of craving something
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
pasta,"n. a dish that contains pasta as its main ingredient
n. shaped and dried dough made from flour and water and sometimes egg"
porter,"n. a person employed to carry luggage and supplies
n. United States writer of novels and short stories (1890-1980)
n. United States composer and lyricist of musical comedies (1891-1946)
n. United States writer of short stories whose pen name was O. Henry (1862-1910)"
suite,"n. a musical composition of several movements only loosely connected
n. apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
n. a matching set of furniture"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
laundry,"n. garments or white goods that can be cleaned by laundering
n. workplace where clothes are washed and ironed"
helicopter,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
brunch,"n. combination breakfast and lunch; usually served in late morning
v. eat a meal in the late morning"
Napier,n. Scottish mathematician who invented logarithms; introduced the use of the decimal point in writing numbers (1550-1617)
Burma,n a mountainous republic in southeastern Asia on the Bay of Bengal
Lake Taupo,none
dairy,n. a farm where dairy products are produced
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
eco-friendly,none
subtropical,a. of or relating to or characteristic of conditions in the subtropics
fiord,n a long narrow inlet of the sea between steep cliffs; common in Norway
not to mention,none
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
abseil,"n (mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body
v lower oneself with a rope coiled around the body from a mountainside"
get around,none
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
insure,v. take out insurance for
theft,n the act of taking something from someone unlawfully
handy,"n. United States blues musician who transcribed and published traditional blues music (1873-1958)
s. easy to reach
s. easy to use
s. skillful with the hands"
consultant,n an expert who gives advice
guidance,"n. something that provides direction or advice as to a decision or course of action
n. the act of guiding or showing the way"
database,n. an organized body of related information
cater,v. supply food ready to eat; for parties and banquets
cater for sb.,none
cater for sth.,none
enquiry,"n an instance of questioning
n a search for knowledge
n a systematic investigation of a matter of public interest"
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
extension,"n. a mutually agreed delay in the date set for the completion of a job or payment of a debt
n. act of expanding in scope; making more widely available
n. an educational opportunity provided by colleges and universities to people who are not enrolled as regular students
n. act of stretching or straightening out a flexed limb"
vertical,"n. something that is oriented vertically
a. at right angles to the plane of the horizon or a base line
a. relating to or involving all stages of a business from production to distribution
s. of or relating to different levels in a hierarchy (as levels of social class or income group)"
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
detect,"v. discover or determine the existence, presence, or fact of"
Bahmad,none
jogger,n. someone who runs a steady slow pace (usually for exercise)
forensic,"s. of, relating to, or used in public debate or argument
s. used or applied in the investigation and establishment of facts or evidence in a court of law"
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
fingerprint,"n. a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations
n. a generic term for any identifying characteristic
v. take an impression of a person's fingerprints"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
wrap,"n. cloak that is folded or wrapped around a person
n. a sandwich in which the filling is rolled up in a soft tortilla
v. arrange or fold as a cover or protection
v. crash into so as to coil around"
bind,"n. something that hinders as if with bonds
v. create social or emotional ties
v. make fast; tie or secure, with or as if with a rope
v. wrap around with something so as to cover or enclose"
torso,n. the body excluding the head and neck and limbs
Dempsey,n. United States prizefighter who was world heavyweight champion (1895-1983)
surgeon,n. a physician who specializes in surgery
X-ray,"v. examine by taking x-rays
v. take an x-ray of something or somebody"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
Shipley,none
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
by law,"n. A local or subordinate law; a private law or regulation
   made by a corporation for its own government.
n. A law that is less important than a general law or
   constitutional provision, and subsidiary to it; a rule relating to a
   matter of detail; as, civic societies often adopt a constitution and
   by-laws for the government of their members. In this sense the word has
   probably been influenced by by, meaning secondary or aside."
jury,"n. a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
n. a committee appointed to judge a competition"
imprisonment,"n. putting someone in prison or in jail as lawful punishment
n. the act of confining someone in a prison (or as if in a prison)"
assessment,"n. an amount determined as payable
n. the market value set on assets"
widow,"n. a woman whose husband is dead especially one who has not remarried
v. cause to be without a spouse"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
motive,s. causing or able to cause motion
savagely,r. wildly; like an animal
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
lame,n. a fabric interwoven with threads of metal
thriller,n. a suspenseful adventure story or play or movie
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
funeral,n. a ceremony at which a dead person is buried or cremated
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
unemployment,n. the state of being unemployed or not having a job
taxpayer,n. someone who pays taxes
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
aluminium,n a silvery ductile metallic element found primarily in bauxite
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
Arthur Conan Doyle,none
Jabez Wilson,none
Sherlock Holmes,none
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
greengrocer,n. a grocer who sells fresh fruits and vegetables
alley,n. a narrow street with walls on both sides
remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
make of sth,none
make of sb,none
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
furnish,v. provide or equip with furniture
expel,v. force to leave or move out
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
every so often,none
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
myth,n. a traditional story accepted as history; serves to explain the world view of a people
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
depressed,"s. lower than previously
s. flattened downward as if pressed from above or flattened along the dorsal and ventral surfaces"
well-balanced,s. in an optimal state of balance or equilibrium
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
cope with,none
let down,n a feeling of dissatisfaction that results when your expectations are not realized
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
fulfil,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
contradictory,"n. two propositions are contradictories if both cannot be true (or both cannot be false) at the same time
s. of words or propositions so related that both cannot be true and both cannot be false
s. unable to be both true at the same time"
revise,v. make revisions in
curriculum,n an integrated course of academic studies
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
deadline,n. the point in time at which something must be completed
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
post-graduate,"n a student who continues studies after graduation
s of or relating to studies beyond a bachelor's degree"
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
stead,n. the post or function properly or customarily occupied or served by another
stand sb. in good stead,none
employer,n. a person or firm that employs workers
diploma,n. a document certifying the successful completion of a course of study
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
glory,"n. a state of high honor
n. brilliant radiant beauty
v. rejoice proudly"
glory in,none
forgetful,s. failing to keep in mind
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
choir,"n. a chorus that sings as part of a religious ceremony
n. a family of similar musical instrument playing together
n. the area occupied by singers; the part of the chancel between sanctuary and nave
v. sing in a choir"
postcode,n a code of letters and digits added to a postal address to aid in the sorting of mail
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
sake,"n. a reason for wanting something done
n. Japanese alcoholic beverage made from fermented rice; usually served hot
n. the purpose of achieving or obtaining"
for one's own sake,none
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
pedicab,n. a tricycle (usually propelled by pedalling); used in the Orient for transporting passengers for hire
sleep rough,none
feed on,none
philosophical,s. characterized by the attitude of a philosopher; meeting trouble with level-headed detachment
socialism,"n. a political theory advocating state ownership of industry
n. an economic system based on state ownership of capital"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
outweigh,v. be heavier than
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
jealousy,"n. a feeling of jealous envy (especially of a rival)
n. zealous vigilance"
cease,n. (`cease' is a noun only in the phrase `without cease') end
count up,none
reinforce,"v. make stronger
v. strengthen and support with rewards"
Odysseus,n. (Greek mythology) a famous mythical Greek hero; his return to Ithaca after the siege of Troy was described in the Odyssey
Trojan,"n. a native of ancient Troy
n. a program that appears desirable but actually contains something harmful
a. of or relating to the ancient city of Troy or its inhabitants"
Ithaca,"n. a college town in central New York on Lake Cayuga
n. a Greek island to the west of Greece; in Homeric legend Odysseus was its king"
Telemachus,none
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
Penelope,"n. (Greek mythology) the wife of Odysseus and a symbol of devotion and fidelity; for 10 years while Odysseus fought the Trojan War she resisted numerous suitors until Odysseus returned and killed them
n. a genus of guans (turkey-like arboreal birds valued as game and food birds)"
statesman,n. a man who is a respected leader in national or international affairs
statesmanlike,a. marked by the qualities of or befitting a statesman
unconditional,"a. not conditional
s. not contingent; not determined or influenced by someone or something else"
Cyclops,"n. (Greek mythology) one of a race of giants having a single eye in the middle of their forehead
n. minute free-swimming freshwater copepod having a large median eye and pear-shaped body and long antennae used in swimming; important in some food chains and as intermediate hosts of parasitic worms that affect man e.g. Guinea worms"
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
howl,"n. a long loud emotional utterance
n. the long plaintive cry of a hound or a wolf
n. a loud sustained noise resembling the cry of a hound
v. emit long loud cries"
merciful,"a. showing or giving mercy
s. (used conventionally of royalty and high nobility) gracious"
at the crack of dawn,none
quick as a flash,none
hatch,"n. the production of young from an egg
n. shading consisting of multiple crossing lines
n. a movable barrier covering a hatchway
v. emerge from the eggs"
whistle,"n. the sound made by something moving rapidly or by steam coming out of a small aperture
n. the act of signalling (e.g., summoning) by whistling or blowing a whistle
n. a small wind instrument that produces a whistling sound by blowing into it
n. acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound"
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
a wolf in sheep's clothing,none
pint,"n. a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
n. a United States dry unit equal to 0.5 quart or 33.6 cubic inches
n. a United States liquid unit equal to 16 fluid ounces; two pints equal one quart"
dead to the world,none
socket,"n. a bony hollow into which a structure fits
n. receptacle where something (a pipe or probe or end of a bone) is inserted
n. a receptacle into which an electric device can be inserted"
stagger,"v. walk as if unable to control one's movements
v. walk with great difficulty
v. to arrange in a systematic order
v. astound or overwhelm, as with shock"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
belly,"n. a protruding abdomen
n. a part that bulges deeply
n. the hollow inside of something
n. the underpart of the body of certain vertebrates such as snakes or fish"
wrestle,"n. the act of engaging in close hand-to-hand combat
v. combat to overcome an opposing tendency or force
v. engage in deep thought, consideration, or debate
v. engage in a wrestling match"
Circe,n. (Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine
marble,"n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
n. a small ball of glass that is used in various games
n. a sculpture carved from marble
v. paint or stain like marble"
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
quilt,"n. bedding made of two layers of cloth filled with stuffing and stitched together
v. stitch or sew together
v. create by stitching together"
trough,"n. a narrow depression (as in the earth or between ocean waves or in the ocean bed)
n. a long narrow shallow receptacle"
slice,"n. a share of something
n. a golf shot that curves to the right for a right-handed golfer
n. a thin flat piece cut off of some object
n. a spatula for spreading paint or ink"
wear off,none
saucer,n. a small shallow dish for holding a cup at the table
circus,"n. a travelling company of entertainers; including trained animals
n. a performance given by a traveling company of acrobats, clowns, and trained animals
n. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment
n. (antiquity) an open-air stadium for chariot races and gladiatorial games"
freeway,n a broad highway designed for high-speed traffic
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
moustache,n an unshaved growth of hair on the upper lip
mustard,"n. any of several cruciferous plants of the genus Brassica
n. pungent powder or paste prepared from ground mustard seeds
n. leaves eaten as cooked greens"
Theseus,n. (Greek mythology) a hero and king of Athens who was noted for his many great deeds: killed Procrustes and the Minotaur and defeated the Amazons and united Attica
enlarge,"v. make larger
v. become larger or bigger"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
fist,n. a hand with the fingers clenched in the palm (as for hitting)
combat,n. an engagement fought between two military forces
walnut,"n. nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell
n. hard dark-brown wood of any of various walnut trees; used especially for furniture and paneling
n. any of various trees of the genus Juglans"
transparent,s. easily understood or seen through (because of a lack of subtlety)
transparently,"r. so as to be easily understood or seen through
r. so as to allow the passage of light"
tug,"n. a sudden abrupt pull
v. pull hard
v. strive and make an effort to reach a goal
v. tow (a vessel) with a tug"
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
zoom,"v. move along very quickly
v. move with a low humming noise"
zoom in on,none
insignificant,"s. not worthy of notice
s. signifying nothing
s. of little importance or influence or power; of minor status
a. devoid of importance, meaning, or force"
Sinis,none
Procrustes,"n. (Greek mythology) a mythical giant who was a thief and murderer; he would capture people and tie them to an iron bed, stretching them or hacking off their legs to make them fit; was killed by Theseus"
Crete,n. the largest Greek island in the Mediterranean; site of the Minoan civilization that reached its peak in 1600 BC
fleece,"n. the wool of a sheep or similar animal
n. a soft bulky fabric with deep pile; used chiefly for clothing
v. shear the wool from"
Perseus,"n. (Greek mythology) the son of Zeus who slew Medusa (with the help of Athena and Hermes) and rescued Andromeda from a sea monster
n. a conspicuous constellation in the northern hemisphere; between Auriga and Cassiopeia and crossed by the Milky Way"
vice versa,none
faced with,none
be faced with,none
scholarship,n. financial aid provided to a student on the basis of academic merit
in disbelief,none
drop into,none
unsettling,v disturb the composure of
dozens of,none
now and again,none
expectantly,r. in an expectant manner
suck,"v. draw into the mouth by creating a practical vacuum in the mouth
v. draw something in by or as if by a vacuum
v. attract by using an inexorable force, inducement, etc.
v. be inadequate or objectionable"
co-operate,v work together on a common enterprise of project
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
pleasurable,s affording satisfaction or pleasure
anticipation,"n. an expectation
n. something expected (as on the basis of a norm)
n. anticipating with confidence of fulfillment"
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
algebra,n. the mathematics of generalized arithmetical operations
interpersonal,s. occurring among or involving several people
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
agro-scientific,none
core,"n. a small group of indispensable persons or things
n. the center of an object
n. the central part of the Earth
n. a cylindrical sample of soil or rock obtained with a hollow drill"
drop in,none
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
call on,none
composer,n. someone who composes music as a profession
mathematician,n. a person skilled in mathematics
stewardess,n. a woman steward on an airplane
diplomat,"n. an official engaged in international negotiations
n. a person who deals tactfully with others"
embassy,"n. a diplomatic building where ambassadors live or work
n. an ambassador and his entourage collectively"
referee,"n. (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
n. an attorney appointed by a court to investigate and report on a case
v. be a referee or umpire in a sports competition
v. evaluate professionally a colleague's work"
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
swerve,"n. the act of turning aside suddenly
v. turn sharply; change direction abruptly"
missile,n. a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
bishop,"n. a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
n. port wine mulled with oranges and cloves
n. (chess) a piece that can be moved diagonally over unoccupied squares of the same color"
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
go on circuit,none
razor,"n. edge tool used in shaving
v. shave with a razor"
shaver,"n. an adult male who shaves
n. a razor powered by an electric motor"
oval,"n a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
s rounded like an egg"
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
curriculum vitae,none
CV,"n a summary of your academic and work history
s being five more than one hundred"
nickname,"n. a familiar name for a person (often a shortened version of a person's given name)
n. a descriptive name for a place or thing"
presentational,a. of or relating to a presentation (especially in psychology or philosophy)
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
IELTS,none
accountancy,n. the occupation of maintaining and auditing records and preparing financial reports for a business
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
bureaucratic,a. of or relating to or resembling a bureaucrat or bureaucracy
ethos,n. (anthropology) the distinctive spirit of a culture or an era
minefield,n. a region in which explosives mines have been placed
unwary,a. not alert to danger or deception
autobiography,n. a biography of yourself
build on,none
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
to tell you the truth,none
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
appendix,"n. supplementary material that is collected and appended at the back of a book
n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
roundabout,"n a road junction at which traffic streams circularly around a central island
n a large, rotating machine with seats for children to ride or amusement
s marked by obliqueness or indirection in speech or conduct
s deviating from a straight course"
