arroyo,n. a stream or brook
torrid,"s. emotionally charged and vigorously energetic
s. extremely hot"
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
vernal,a. of or characteristic of or occurring in spring
hibernal,s characteristic of or relating to winter
gusty,s. blowing in puffs or short intermittent blasts
down-to-earth,s. sensible and practical
abut,v lie adjacent to another or share a boundary
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
antarctic,n. the region around the south pole: Antarctica and surrounding waters
archipelago,n. a group of many islands in a large body of water
arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
bog,n. wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
contiguous,s. very close or connected in space or time
coterminous,s being of equal extent or scope or duration
curb,"n. an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
n. a horse's bit with an attached chain or strap to check the horse
v. keep to the curb"
delta,"n. a low triangular area of alluvial deposits where a river divides before entering a larger body of water
n. an object shaped like an equilateral triangle
n. the 4th letter of the Greek alphabet"
doldrums,n. a belt of calms and light winds between the northern and southern trade winds of the Atlantic and Pacific
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
horizontal,"n. something that is oriented horizontally
a. parallel to or in the plane of the horizon or a base line"
landlocked,s. surrounded entirely or almost entirely by land
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
outskirts,n. outlying areas (as of a city or town)
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
terrestrial,a. operating or living or growing on land
hinterland,n a remote and undeveloped area
littoral,"n. the region of the shore of a lake or sea or ocean
a. of or relating to a coastal or shore region"
chasm,n. a deep opening in the earth's surface
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
obsidian,"n. acid or granitic glass formed by the rapid cooling of lava without crystallization; usually dark, but transparent in thin pieces"
savanna,n. a flat grassland in tropical or subtropical regions
adobe,"n. the clay from which adobe bricks are made
n. sun-dried brick; used in hot dry climates"
aquifer,n. underground bed or layer yielding ground water for wells and springs etc
bauxite,n. a clay-like mineral; the chief ore of aluminum; composed of aluminum oxides and aluminum hydroxides; used as an abrasive and catalyst
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
brink,"n. a region marking a boundary
n. the edge of a steep place"
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
dune,n. a ridge of sand created by the wind; found in deserts or near lakes and oceans
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
ferrous,a of or relating to or containing iron
fissure,"n. (anatomy) a long narrow slit or groove that divides an organ into lobes
v. break into fissures or fine cracks"
gem,"n. art highly prized for its beauty or perfection
n. a crystalline rock that can be cut and polished for jewelry"
granite,"n. plutonic igneous rock having visibly crystalline texture; generally composed of feldspar and mica and quartz
n. something having the quality of granite (unyielding firmness)"
graphite,n. used as a lubricant and as a moderator in nuclear reactors
gravel,"n. rock fragments and pebbles
v. cover with gravel"
grit,"n. a hard coarse-grained siliceous sandstone
v. cover with a grit
v. clench together"
gully,n. deep ditch cut by running water (especially after a prolonged downpour)
lava,n. rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
limestone,n. a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals
lode,n. a deposit of valuable ore occurring within definite boundaries separating it from surrounding rocks
marble,"n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
n. a small ball of glass that is used in various games
n. a sculpture carved from marble
v. paint or stain like marble"
ore,"n. a mineral that contains metal that is valuable enough to be mined
n. a monetary subunit in Denmark and Norway and Sweden; 100 ore equal 1 krona"
petroleum,n. a dark oil consisting mainly of hydrocarbons
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
rhinestone,n. an imitation diamond made from rock crystal or glass or paste
sapphire,"n. a precious transparent stone of rich blue corundum valued as a gemstone
n. a transparent piece of sapphire that has been cut and polished and is valued as a precious gem
s. of something having the color of a blue sapphire"
shale,n. a sedimentary rock formed by the deposition of successive layers of clay
silt,n. mud or clay or small rocks deposited by a river or lake
slag,"n. the scum formed by oxidation at the surface of molten metals
v. convert into slag"
terrain,n. a piece of ground having specific characteristics or military potential
turquoise,n. a blue to grey green mineral consisting of copper aluminum phosphate
amethyst,"n. a transparent purple variety of quartz; used as a gemstone
s. of a moderate purple color"
emerald,"n. a green transparent form of beryl; highly valued as a gemstone
n. a transparent piece of emerald that has been cut and polished and is valued as a precious gem
n. the green color of an emerald"
rubble,n the remains of something that has been destroyed or broken up
aerial,a. existing or living or growing or operating in the air
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
apogee,"n. a final climactic stage
n. apoapsis in Earth orbit; the point in its orbit where a satellite is at the greatest distance from the Earth"
constellation,n. a configuration of stars as seen from the earth
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
cosmos,n. any of various mostly Mexican herbs of the genus Cosmos having radiate heads of variously colored flowers and pinnate leaves; popular fall-blooming annuals
empyreal,s. inspiring awe
ethereal,"a. of or containing or dissolved in ether
s. characterized by unusual lightness and delicacy"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
lunar,a. of or relating to or associated with the moon
meteoric,"a. pertaining to or consisting of meteors or meteoroids
s. like a meteor in speed or brilliance or transience"
nova,n. a star that ejects some of its material in the form of a cloud and become more luminous in the process
observatory,n. a building designed and equipped to observe astronomical phenomena
planet,"n. (astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction
n. any celestial body (other than comets or satellites) that revolves around a star"
sidereal,"a. of or relating to the stars or constellations
a. (of divisions of time) determined by daily motion of the stars"
spatial,a. pertaining to or involving or having the nature of space
stellar,a. being or relating to or resembling or emanating from stars
supernova,n. a star that explodes and becomes extremely luminous in the process
aeronautics,n. the theory and practice of navigation through air or space
empyrean,a. of or relating to the sky or heavens
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
horoscope,"n. a prediction of someone's future based on the relative positions of the planets
n. a diagram of the positions of the planets and signs of the zodiac at a particular time and place"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
agglomerate,"n. volcanic rock consisting of large fragments fused together
v. form into one cluster
s. clustered together but not coherent"
aggrandize,v add details to
airborne,s. moved or conveyed by or through air
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
axle,n. a shaft on which a wheel rotates
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
chafe,"n. soreness and warmth caused by friction
v. become or make sore by or as if by rubbing
v. feel extreme irritation or anger"
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
cord,"n. a line made of twisted fibers or threads
n. a unit of amount of wood cut for burning; 128 cubic feet
n. a light insulated conductor for household use
n. a cut pile fabric with vertical ribs; usually made of cotton"
cryogenic,a. of or relating to very low temperatures
decibel,n. a logarithmic unit of sound intensity; 10 times the logarithm of the ratio of the sound intensity to some reference intensity
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
dynamo,n. generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature
fathom,"n. a linear unit of measurement (equal to 6 feet) for water depth
n. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
v. measure the depth of (a body of water) with a sounding line"
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
gallon,"n. United States liquid unit equal to 4 quarts or 3.785 liters
n. a British imperial capacity measure (liquid or dry) equal to 4 quarts or 4.545 liters"
galvanize,"v. cover with zinc
v. stimulate (muscles) by administering a shock"
generator,"n. an apparatus that produces a vapor or gas
n. engine that converts mechanical energy into electrical energy by electromagnetic induction
n. someone who originates or causes or initiates something
n. an electronic device for producing a signal voltage"
gravitational,a. of or relating to or caused by gravitation
lumen,"n. a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions
n. a cavity or passage in a tubular organ"
nucleus,"n. a part of the cell containing DNA and RNA and responsible for growth and reproduction
n. the positively charged dense center of an atom
n. (astronomy) the center of the head of a comet; consists of small solid particles of ice and frozen gas that vaporizes on approaching the sun to form the coma and tail
n. any histologically identifiable mass of neural cell bodies in the brain or spinal cord"
odometer,n. a meter that shows mileage traversed
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
refraction,n. the change in direction of a propagating wave (light or sound) when passing from one medium to another
resound,v. ring or echo with sound
sextant,"n. a unit of angular distance equal to 60 degrees
n. a measuring instrument for measuring the angular distance between celestial objects; resembles an octant"
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
thermal,"n. rising current of warm air
a. relating to or associated with heat
a. of or relating to a hot spring
s. caused by or designed to retain heat"
velocity,n distance travelled per unit time
carat,n. a unit of weight for precious stones = 200 mg
centrifugal,"a. tending to move away from a center
s. tending away from centralization, as of authority
s. conveying information to the muscles from the CNS"
centripetal,"a. tending to move toward a center
s. tending to unify
s. of a nerve fiber or impulse originating outside and passing toward the central nervous system"
assay,"n. an appraisal of the state of affairs
n. a substance that is undergoing an analysis of its components
n. a written report of the results of an analysis of the composition of some substance"
inelasticity,n. the lack of elasticity
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
mechanical,"a. using (or as if using) mechanisms or tools or devices
a. relating to or concerned with machinery or tools
a. relating to or governed by or in accordance with mechanics"
metrical,"a based on the meter as a standard of measurement
s the rhythmic arrangement of syllables"
projectile,"n. a weapon that is forcibly thrown or projected at a targets but is not self-propelled
s. impelling or impelled forward"
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
tensile,a. of or relating to tension
trajectory,n. the path followed by an object moving through space
rake,"n. a dissolute man in fashionable society
n. a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil
v. move through with or as if with a rake
v. level or smooth with a rake"
rotundity,"n the roundness of a 3-dimensional object
n the fullness of a tone of voice"
sonic,"a. (of speed) having or caused by speed approximately equal to that of sound in air at sea level
s. relating to audible sound"
reflective,"a. capable of physically reflecting light or sound
s. devoted to matters of the mind"
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
mechanics,n. the branch of physics concerned with the motion of bodies in a frame of reference
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
torque,n a twisting force
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
alchemy,n. a pseudoscientific forerunner of chemistry in medieval times
alkali,n. a mixture of soluble salts found in arid soils and some bodies of water; detrimental to agriculture
aluminium,n a silvery ductile metallic element found primarily in bauxite
amalgam,"n. an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
n. a combination or blend of diverse things"
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
bromide,n. any of the salts of hydrobromic acid; formerly used as a sedative but now generally replaced by safer drugs
calcium,n. a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
clot,"n. a lump of material formed from the content of a liquid
v. change from a liquid to a thickened or solid state
v. cause to change from a liquid to a solid or thickened state"
coagulant,n. an agent that produces coagulation
coagulate,s. transformed from a liquid into a soft semisolid or solid mass
coagulation,n the process of forming semisolid lumps in a liquid
combustible,"n. a substance that can be burned to provide heat or power
a. capable of igniting and burning"
compost,"n. a mixture of decaying vegetation and manure; used as a fertilizer
v. convert to compost"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
congeal,v become gelatinous
corrode,"v. cause to deteriorate due to the action of water, air, or an acid
v. become destroyed by water, air, or a corrosive such as an acid"
corrosive,"n. a substance having the tendency to cause corrosion (such a strong acids or alkali)
s. spitefully sarcastic"
curdle,"v. turn into curds
v. go bad or sour
v. turn from a liquid to a solid mass"
decomposition,"n. the analysis of a vector field
n. in a decomposed state
n. (chemistry) separation of a substance into two or more substances that may differ from each other and from the original substance"
defoliator,n an insect that strips the leaves from plants
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
deleterious,s. harmful to living things
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
dilute,v. lessen the strength or flavor of a solution or mixture
disinfectant,n. an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease
dissolve,"n. (film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out
v. become weaker
v. cause to go into a solution
v. come to an end"
distill,"v. undergo the process of distillation
v. extract by the process of distillation
v. give off (a liquid)"
emollient,"n toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin
s having a softening or soothing effect especially to the skin"
emulsify,"v. cause to become an emulsion; make into an emulsion
v. form into or become an emulsion"
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
explosive,"n. a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck
a. serving to explode or characterized by explosion or sudden outburst
s. liable to lead to sudden change or violence
s. sudden and loud"
ferment,"n. a substance capable of bringing about fermentation
v. be in an agitated or excited state
v. work up into agitation or excitement
v. cause to undergo fermentation"
fermentation,"n a state of agitation or turbulent change or development
n a process in which an agent causes an organic substance to break down into simpler substances; especially, the anaerobic breakdown of sugar into alcohol"
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
flammable,s. easily ignited
gasification,n. the process of changing into gas
germicide,n an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease
herbicide,n. a chemical agent that destroys plants or inhibits their growth
hydrate,"n. any compound that contains water of crystallization
v. supply water or liquid to in order to maintain a healthy balance
v. become hydrated and combine with water"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
inhibitor,n. a substance that retards or stops an activity
insecticide,n. a chemical used to kill insects
insoluble,"a. (of a substance) incapable of being dissolved
a. admitting of no solution or explanation
s. without hope of solution"
iodine,n. a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
isotope,n. one of two or more atoms with the same atomic number but with different numbers of neutrons
leaven,"n. a substance used to produce fermentation in dough or a liquid
n. an influence that works subtly to lighten or modify something"
liquefy,"v. become liquid
v. make (a solid substance) liquid, as by heating
v. become liquid or fluid when heated"
lubricant,n. a substance capable of reducing friction by making surfaces smooth or slippery
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
molten,s. reduced to liquid form by heating
mote,n (nontechnical usage) a tiny piece of anything
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
nonradioactive,a. not radioactive
noxious,a. injurious to physical or mental health
ointment,n. semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
ossify,"v. become bony
v. cause to become hard and bony"
oxidize,v. add oxygen to or combine with oxygen
permeate,v. spread or diffuse through
pesticide,n. a chemical used to kill pests (as rodents or insects)
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
precipitant,n. an agent that causes a precipitate to form
preservative,"n. a chemical compound that is added to protect against decay or decomposition
s. tending or having the power to preserve"
reactant,n. a chemical substance that is present at the start of a chemical reaction
saccharin,n. a crystalline substance 500 times sweeter than sugar; used as a calorie-free sweetener
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
solvent,"n. a liquid substance capable of dissolving other substances
a. capable of meeting financial obligations"
thaw,"n. the process whereby heat changes something from a solid to a liquid
n. warm weather following a freeze; snow and ice melt
n. a relaxation or slackening of tensions or reserve; becoming less hostile"
toxin,n. a poisonous substance produced during the metabolism and growth of certain microorganisms and some higher plant and animal species
vaporization,"n. annihilation by vaporizing something
n. the process of becoming a vapor"
