trait,n. a distinguishing feature of your personal nature
opponent,s. characterized by active hostility
cruel,s (of persons or their actions) able or disposed to inflict pain or suffering
instance,"n an occurrence of something
n an item of information that is typical of a class or group
v clarify by giving an example of"
for instance,none
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
drug,"n. a substance that is used as a medicine or narcotic
v. administer a drug to
v. use recreational drugs"
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
sum up,n a brief statement that presents the main points in a concise form
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
temple,"n. place of worship consisting of an edifice for the worship of a deity
n. the flat area on either side of the forehead
n. an edifice devoted to special or exalted purposes"
Confucius,n. Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
valley,n. a long depression in the surface of the land that usually contains a river
scenic,"s. used of locations; having beautiful natural scenery
a. of or relating to the stage or stage scenery"
historic,"s. belonging to the past; of what is important or famous in the past
s. important in history"
thunderstorm,n. a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
agricultural,a. relating to or used in or promoting agriculture or farming
Atlantic,"n. the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
a. relating to or bordering the Atlantic Ocean"
