fray,v. wear away by rubbing
movable,"s. (of personal property as opposed to real estate) can be moved from place to place (especially carried by hand)
s. capable of being moved or conveyed from one place to another"
muck,"v. remove muck, clear away muck, as in a mine"
muffin,n. a sweet quick bread baked in a cup-shaped pan
multimedia,n. transmission that combine media of communication (text and graphics and sound etc.)
multitude,"n. a large gathering of people
n. the common people generally"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
mummy,n. a body embalmed and dried and wrapped for burial (as in ancient Egypt)
mumps,n. an acute contagious viral disease characterized by fever and by swelling of the parotid glands
municipality,"n. an urban district having corporate status and powers of self-government
n. people living in a town or city having local self-government"
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
muse,"n. in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
n. the source of an artist's inspiration"
musk,"n. an odorous glandular secretion from the male musk deer; used as a perfume fixative
n. the scent of a greasy glandular secretion from the male musk deer"
mutilate,"v. destroy or injure severely
v. destroy or injure severely"
myriad,n. a large indefinite number
mystic,"n. someone who believes in the existence of realities beyond human comprehension
a. relating to or resembling mysticism
a. relating to or characteristic of mysticism"
nab,"v. tag the base runner to get him out
v. seize suddenly"
nag,"v. bother persistently with trivial complaints
v. worry persistently
v. remind or urge constantly"
namesake,n. a person with the same name as another
nappy,"n garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
s (of hair) in small tight curls"
narcissus,"n. bulbous plant having erect linear leaves and showy yellow or white flowers either solitary or in clusters
n. (Greek mythology) a beautiful young man who fell in love with his own reflection"
nasal,n. an elongated rectangular bone that forms the bridge of the nose
naturalise,"v adopt to another place
v make more natural or lifelike
v make into a citizen
v adapt (a wild plant or unclaimed land) to the environment"
naturalize,"v. make into a citizen
v. explain with reference to nature
v. adopt to another place"
navigate,"v. act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance
v. direct carefully and safely"
nebulous,s. lacking definition or definite content
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
negotiable,"s. capable of being passed or negotiated
s. able to be negotiated or arranged by compromise"
neoclassical,s characteristic of a revival of an earlier classical style
neon,n. a colorless odorless gaseous element that give a red glow in a vacuum tube; one of the six inert gasses; occurs in the air in small amounts
neural,a. of or relating to neurons
neurological,a. of or relating to or used in or practicing neurology
neurotic,"n. a person suffering from neurosis
a. characteristic of or affected by neurosis
a. affected with emotional disorder"
neutralise,"v get rid of (someone who may be a threat) by killing
v make incapable of military action
v make ineffective by counterbalancing the effect of
v make chemically neutral"
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
newsreel,n. a short film and commentary about current events
nib,n. the writing point of a pen
nicotine,n. an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide
nigger,n. (ethnic slur) extremely offensive name for a Black person
nigh,"a not far distant in time or space or degree or circumstances
s being on the left side
r near in time or place or relationship
r (of actions or states) slightly short of or not quite accomplished; all but"
nip,"n. a small drink of liquor
n. a tart spicy quality
n. a small sharp bite or snip
v. give a small sharp bite to"
nipple,"n. the small projection of a mammary gland
n. a flexible cap on a baby's feeding bottle or pacifier"
nirvana,n. (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
nitrate,"n. any compound containing the nitrate group (such as a salt or ester of nitric acid)
v. treat with nitric acid, so as to change an organic compound into a nitrate"
node,"n. a connecting point at which several lines come together
n. any thickened enlargement
n. (botany) the small swelling that is the part of a plant stem from which one or more leaves emerge
n. (physics) the point of minimum displacement in a periodic system"
nomadic,s migratory
nomenclature,n a system of words used to name things in a particular discipline
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nominee,n a politician who is running for public office
nonstop,"s. (of a journey especially a flight) occurring without stops
r. without stopping"
Nordic,"a. of or relating to or constituting the Scandinavian group of languages
a. relating to Germany and Scandinavia
s. resembling peoples of Scandinavia"
nostalgia,n. longing for something past
nostalgic,s. unhappy about being away and longing for familiar things or persons
notary,n. someone legally empowered to witness signatures and certify a document's validity and to take depositions
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
notification,n. a request for payment
notoriety,n. the state of being known for some unfavorable act or quality
notwithstanding,r despite anything to the contrary (usually following a concession)
nought,n a mathematical element that when added to another number yields the same number
nucleus,"n. a part of the cell containing DNA and RNA and responsible for growth and reproduction
n. the positively charged dense center of an atom
n. (astronomy) the center of the head of a comet; consists of small solid particles of ice and frozen gas that vaporizes on approaching the sun to form the coma and tail
n. any histologically identifiable mass of neural cell bodies in the brain or spinal cord"
nudity,n the state of being without clothing or covering of any kind
nutritious,s of or providing nourishment
nuzzle,"v. rub noses
v. dig out with the snout"
nymph,"n. (classical mythology) a minor nature goddess usually depicted as a beautiful maiden
n. a larva of an insect with incomplete metamorphosis (as the dragonfly or mayfly)
n. a voluptuously beautiful young woman"
obligatory,"a. morally or legally constraining or binding
s. required by obligation or compulsion or convention"
obliterate,"v. remove completely from recognition or memory
v. do away with completely, without leaving a trace"
oblivion,n. the state of being disregarded or forgotten
oboe,n. a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
obscene,s. designed to incite to indecency or lust
obscenity,"n. the trait of behaving in an obscene manner
n. an offensive or indecent word or phrase
n. an obscene act"
obscurity,"n. an obscure and unimportant standing; not well known
n. the state of being indistinct or indefinite for lack of adequate illumination"
observance,"n the act of observing; taking a patient look
n a formal event performed on a special occasion
n the act of noticing or paying attention
n conformity with law or custom or practice etc."
observant,"s. paying close attention especially to details
s. quick to notice; showing quick and keen perception"
obsess,v. be preoccupied with something
obsessive,n. a person who has obsessions
occidental,"n. a native inhabitant of the Occident
n. an artificial language
s. denoting or characteristic of countries of Europe and the western hemisphere"
oceanography,n. the branch of science dealing with physical and biological aspects of the oceans
octopus,"n. tentacles of octopus prepared as food
n. bottom-living cephalopod having a soft oval body with eight long tentacles"
ode,n. a lyric poem with complex stanza forms
odour,"n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
n any property detected by the olfactory system"
odor,"n any property detected by the olfactory system
n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form"
offhand,"s. casually thoughtless or inconsiderate
r. without previous thought or preparation
r. in a casually inconsiderate manner"
oily,s. coated or covered with oil
omega,"n. the ending of a series or sequence
n. the last (24th) letter of the Greek alphabet"
omniscient,s infinitely wise
oncoming,s. moving toward one
ongoing,s. currently happening
onomatopoeia,n. using words that imitate the sound they denote
opal,n. a translucent mineral consisting of hydrated silica of variable color; some varieties are used as gemstones
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
operational,"a. pertaining to a process or series of actions for achieving a result
a. (military) of or intended for or involved in military operations
s. being in effect or operation"
oppressive,"s. weighing heavily on the senses or spirit
s. marked by unjust severity or arbitrary behavior"
optimise,"v make optimal; get the most out of; use best
v modify to achieve maximum efficiency in storage capacity or time or cost
v act as an optimist and take a sunny view of the world"
optimize,"v. make optimal; get the most out of; use best
v. modify to achieve maximum efficiency in storage capacity or time or cost
v. act as an optimist and take a sunny view of the world"
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
opulent,s rich and superior in quality
orbital,"a. of or relating to an orbit
a. of or relating to the eye socket"
orchestrate,v. write an orchestra score for
orchid,n. any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors
ordinal,"a. of or relating to a taxonomic order
a. being or denoting a numerical order in a series"
ordinance,n. a statute enacted by a city government
orgy,"n. any act of immoderate indulgence
n. secret rite in the cults of ancient Greek or Roman deities involving singing and dancing and drinking and sexual activity
n. a wild gathering involving excessive drinking and promiscuity"
ornate,s marked by elaborate rhetoric and elaborated with decorative details
orthodoxy,"n. the quality of being orthodox (especially in religion)
n. a belief or orientation agreeing with conventional standards"
ostensibly,r from appearances alone
oust,"v. remove from a position or office
v. remove and replace"
outcast,n. a person who is rejected (from society or home)
outcry,"n a loud utterance; often in protest or opposition
v shout louder than
v utter aloud; often with surprise, horror, or joy"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
outlandish,s conspicuously or grossly unconventional or unusual
outpost,n. a military post stationed at a distance from the main body of troops
outspoken,s. given to expressing yourself freely or insistently
outweigh,v. be heavier than
ovation,n. enthusiastic recognition (especially one accompanied by loud applause)
overboard,"r. to extremes
r. from on board a vessel into the water"
overdue,s past due; not paid at the scheduled time
overgrown,"s. covered with growing plants
s. abounding in usually unwanted vegetation"
overleaf,r. on or to the other side of a page
overly,r to a degree exceeding normal or proper limits
overrule,v. rule against
overseas,r. in a place across an ocean
overshadow,"v. be greater in significance than
v. cast a shadow upon"
overture,"n. orchestral music played at the beginning of an opera or oratorio
n. a tentative suggestion designed to elicit the reactions of others"
overview,n. a general summary of a subject
ovum,n. the female reproductive cell; the female gamete
padlock,"n. a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
v. fasten with a padlock"
painstaking,s characterized by extreme care and great effort
palatable,a. acceptable to the taste or mind
palatal,"n. a semivowel produced with the tongue near the palate (like the initial sound in the English word `yeast')
a. relating to or lying near the palate
s. produced with the front of the tongue near or touching the hard palate (as `y') or with the blade of the tongue near the hard palate (as `ch' in `chin' or `j' in `gin')"
palate,n. the upper surface of the mouth that separates the oral and nasal cavities
palette,"n. the range of colour characteristic of a particular artist or painting or school of art
n. board that provides a flat surface on which artists mix paints and the range of colors used"
pamper,v. treat with excessive indulgence
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
pancake,n. a flat cake of thin batter fried on both sides on a griddle
panoramic,s as from an altitude or distance
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
panther,n. a leopard in the black color phase
pantomime,"n a performance using gestures and body movements without words
v act out without words but with gestures and bodily movements only"
par,"n. (golf) the standard number of strokes set for each hole on a golf course, or for the entire course
v. make a score (on a hole) equal to par"
parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
paradigm,"n. systematic arrangement of all the inflected forms of a word
n. the generally accepted perspective of a particular discipline at a given time"
paradoxical,s. seemingly contradictory but nonetheless possibly true
paraffin,"n. from crude petroleum; used for candles and for preservative or waterproof coatings
n. (British usage) kerosine"
paralysis,n. loss of the ability to move a body part
paralytic,"n. a person suffering from paralysis
a. relating to or of the nature of paralysis
s. affected with paralysis"
parameter,"n. a constant in the equation of a curve that can be varied to yield a family of similar curves
n. any factor that defines a system and determines (or limits) its performance
n. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data"
paramilitary,"n. a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
a. of or relating to a group of civilians organized to function like or to assist a military unit"
paramount,s having superior power and influence
paranoia,n. a psychological disorder characterized by delusions of persecution or grandeur
pare,"v. decrease gradually or bit by bit
v. remove the edges from and cut down to the desired size"
parentage,n. the kinship relation of an offspring to the parents
parenthetical,"n an expression in parentheses
s qualifying or explaining; placed or as if placed in parentheses"
parenthood,n. the state of being a parent
parole,"n. a promise
n. (law) a conditional release from imprisonment that entitles the person to serve the remainder of the sentence outside the prison as long as the terms of release are complied with
v. release a criminal from detention and place him on parole"
parsley,"n. annual or perennial herb with aromatic leaves
n. aromatic herb with flat or crinkly leaves that are cut finely and used to garnish food"
parson,n a person authorized to conduct religious worship
partake,"v. have some of the qualities or attributes of something
v. have, give, or receive a share of
v. consume"
partiality,n. an inclination to favor one group or view or opinion over alternatives
password,n. a secret word or phrase known only to a restricted group
pasta,"n. a dish that contains pasta as its main ingredient
n. shaped and dried dough made from flour and water and sometimes egg"
pastel,"n. any of various pale or light colors
s. lacking in body or vigor
s. delicate and pale in color"
pathological,"a. of or relating to the practice of pathology
s. caused by or evidencing a mentally disturbed condition"
pathologic,"s caused by or altered by or manifesting disease or pathology
a of or relating to the practice of pathology"
pathology,"n. the branch of medical science that studies the causes and nature and effects of diseases
n. any deviation from a healthy or normal condition"
patio,n. usually paved outdoor area adjoining a residence
patriarch,"n. title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem)
n. the male head of family or tribe
n. any of the early biblical characters regarded as fathers of the human race
n. a man who is older and higher in rank than yourself"
patriarchal,"a. characteristic of a form of social organization in which the male is the family head and title is traced through the male line
a. relating to or characteristic of a man who is older or higher in rank"
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
patronise,"v do one's shopping at; do business with; be a customer or client of
v assume sponsorship of
v treat condescendingly
v be a regular customer or client of"
patronize,"v. do one's shopping at; do business with; be a customer or client of
v. treat condescendingly
v. be a regular customer or client of"
patter,"n. a quick succession of light rapid sounds
v. make light, rapid and repeated sounds"
payout,none
peat,n. partially carbonized vegetable matter saturated with water; can be used as a fuel when dried
pedagogical,a. of or relating to pedagogy
pedagogic,a of or relating to pedagogy
pedantic,s marked by a narrow focus on or display of learning especially its trivial aspects
pedigree,"n. line of descent of a purebred animal
n. ancestry of a purebred animal
s. having a list of ancestors as proof of being a purebred animal"
peek,n. a secret look
pelican,n. large long-winged warm-water seabird having a large bill with a distensible pouch for fish
penalize,v impose a penalty on; inflict punishment on
pendant,n. an adornment that hangs from a piece of jewelry (necklace or earring)
pendent,s. held from above
pending,s. awaiting conclusion or confirmation
penis,n. the male organ of copulation (`member' is a euphemism)
pensioner,n. the beneficiary of a pension fund
pentathlon,n. an athletic contest consisting of five different events
penthouse,n. an apartment located on the top floors of a building
peppermint,"n. herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring
n. a candy flavored with peppermint oil"
perceptive,"a. of or relating to perception
a. having the ability to perceive or understand; keen in discernment"
percussion,"n. the act of playing a percussion instrument
n. the act of exploding a percussion cap
n. tapping a part of the body for diagnostic purposes"
perimeter,n. a line enclosing a plane areas
permissible,"a. that may be permitted especially as according to rule
s. that may be accepted or conceded"
perpetrate,"v. perform an act, usually with a negative connotation"
perpetrator,n. someone who perpetrates wrongdoing
perpetuate,v. cause to continue or prevail
persimmon,"n. any of several tropical trees of the genus Diospyros
n. orange fruit resembling a plum; edible when fully ripe"
personage,n. another word for person; a person not meriting identification
personify,v. attribute human qualities to something
pertain,v. be a part or attribute of
pesticide,n. a chemical used to kill pests (as rodents or insects)
phantom,s. something apparently sensed but having no physical reality
pharmacist,n. a health professional trained in the art of preparing and dispensing drugs
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
pheasant,"n. large long-tailed gallinaceous bird native to the Old World but introduced elsewhere
n. flesh of a pheasant; usually braised"
phenomenal,"a. of or relating to a phenomenon
s. exceedingly or unbelievably great"
philosophical,s. characterized by the attitude of a philosopher; meeting trouble with level-headed detachment
philosophic,a. of or relating to philosophy or philosophers
phonology,n. the study of the sound system of a given language and the analysis and classification of its phonemes
phosphorous,a. containing or characteristic of phosphorus
phosphorus,n. a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells; is highly reactive and occurs in several allotropic forms
physiotherapy,n therapy that uses physical agents: exercise and massage and other modalities
physique,n. constitution of the human body
pidgin,n. an artificial language used for trade between speakers of different languages
piety,n. righteousness by virtue of being pious
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
piracy,n. hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it
piss,"n liquid excretory product
n informal terms for urination
v eliminate urine"
piston,"n. United States neoclassical composer (1894-1976)
n. mechanical device that has a plunging or thrusting motion"
pitcher,"n. (baseball) the person who does the pitching
n. an open vessel with a handle and a spout for pouring
n. the quantity contained in a pitcher
n. (botany) a leaf that that is modified in such a way as to resemble a pitcher or ewer"
pitfall,n. an unforeseen or unexpected or surprising difficulty
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
pivotal,s. being of crucial importance
plaid,n a cloth having a crisscross design
plaintiff,n. a person who brings an action in a court of law
planetary,a. of or relating to or characteristic of the planet Earth or its inhabitants
plaque,n. (pathology) a small abnormal patch on or inside the body
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
platoon,"n. a military unit that is a subdivision of a company; usually has a headquarters and two or more squads; usually commanded by a lieutenant
n. a team of policemen working under the military platoon system
n. a group of persons who are engaged in a common activity"
playoff,n. any final competition to determine a championship
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
pleat,"n. any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
v. fold into pleats, ""Pleat the cloth"""
plenipotentiary,n. a diplomat who is fully authorized to represent his or her government
plight,n. a solemn pledge of fidelity
plunger,n. hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
plush,n. a fabric with a nap that is longer and softer than velvet
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
pockmark,"n. a scar or pit on the skin that is left by a pustule of smallpox or acne or other eruptive disease
v. mark with or as if with pockmarks"
poignant,s. keenly distressing to the mind or feelings
polarity,n. having an indicated pole (as the distinction between positive and negative electric charges)
polio,n an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
polyester,"n. any of numerous synthetic resins; they are light and strong and weather resistant
n. a complex ester used for making fibers or resins or plastics or as a plasticizer
n. any of a large class of synthetic fabrics"
pompous,a. characterized by pomp and ceremony and stately display
poplar,"n. soft light-colored non-durable wood of the poplar
n. any of numerous trees of north temperate regions having light soft wood and flowers borne in catkins"
poppy,n. annual or biennial or perennial herbs having showy flowers
popularise,"v cater to popular taste to make popular and present to the general public; bring into general or common use
v make understandable to the general public"
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
populous,s. densely populated
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
posthumous,s. occurring or coming into existence after a person's death
postscript,n. a note appended to a letter after the signature
potluck,n. whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all
practicality,n. concerned with actual use rather than theoretical possibilities
precinct,n. a district of a city or town marked out for administrative purposes
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
precipitous,"s done with very great haste and without due deliberation
s extremely steep"
preclude,"v. make impossible, especially beforehand"
prefabricate,"v. to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings
v. produce synthetically, artificially, or stereotypically and unoriginally"
preferential,s manifesting partiality
premiere,n. the first public performance of a play or movie
premonition,"n a feeling of evil to come
n an early warning about a future event"
prenatal,a. occurring or existing before birth
preoccupied,"v engage or engross the interest or attention of beforehand or occupy urgently or obsessively
v occupy or take possession of beforehand or before another or appropriate for use in advance
s deeply absorbed in thought
s having or showing excessive or compulsive concern with something"
preparatory,s. preceding and preparing for something
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
preschool,n. an educational institution for children too young for elementary school
presidium,n. a permanent executive committee in socialist countries that has all the powers of some larger legislative body and that acts for it when it is not in session
pressing,"n. a metal or plastic part that is made by a mechanical press
s. compelling immediate action"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
presumption,"n. (law) an inference of the truth of a fact from other facts proved or admitted or judicially noticed
n. audacious (even arrogant) behavior that you have no right to
n. a kind of discourtesy in the form of an act of presuming"
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
priceless,"s having incalculable monetary, intellectual, or spiritual worth"
prism,"n. a polyhedron with two congruent and parallel faces (the bases) and whose lateral faces are parallelograms
n. optical device having a triangular shape and made of glass or quartz; used to deviate a beam or invert an image"
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
procedural,a. of or relating to procedure
prodigal,n. a recklessly extravagant consumer
prodigy,"n. an unusually gifted or intelligent (young) person; someone whose talents excite wonder and admiration
n. an impressive or wonderful example of a particular quality"
profiteer,"n. someone who makes excessive profit (especially on goods in short supply)
v. make an unreasonable profit, as on the sale of difficult to obtain goods"
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propel,v. cause to move forward with force
prophecy,"n. knowledge of the future (usually said to be obtained from a divine source)
n. a prediction uttered under divine inspiration"
proponent,n a person who pleads for a cause or propounds an idea
proposition,"n. (logic) a statement that affirms or denies something and is either true or false
n. an offer for a private bargain (especially a request for sexual favors)
n. a task to be dealt with
v. suggest sex to"
prostate,a. relating to the prostate gland
prostitution,n. offering sexual intercourse for pay
protracted,"v lengthen in time; cause to be or last longer
s relatively long in duration; tediously protracted"
provident,"a. providing carefully for the future
s. careful in regard to your own interests"
pseudo,s. (often used in combination) not genuine but having the appearance of
psycho,n a person afflicted with psychosis
psychoanalyst,n a licensed practitioner of psychoanalysis
psychotherapist,n. a therapist who deals with mental and emotional disorders
psychotherapy,"n. the branch of psychiatry concerned with psychological methods
n. the treatment of mental or emotional problems by psychological means"
pub,n tavern consisting of a building with a bar and public rooms; often provides light meals
puberty,n. the time of life when sex glands become functional
pullover,n. a sweater that is put on by pulling it over the head
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
pun,"n. a humorous play on words
v. make a play on words"
pungent,s. strong and sharp
punitive,a. inflicting punishment
purely,r restricted to something
python,"n. large Old World boas
n. a soothsaying spirit or a person who is possessed by such a spirit
n. (Greek mythology) dragon killed by Apollo at Delphi"
quack,"n. an untrained person who pretends to be a physician and who dispenses medical advice
n. the harsh sound of a duck
v. utter quacking noises"
quadrangle,"n a four-sided polygon
n a rectangular area surrounded on all sides by buildings"
quadrant,"n. a quarter of the circumference of a circle
n. any of the four areas into which a plane is divided by two orthogonal coordinate axes
n. the area enclosed by two perpendicular radii of a circle"
quadrilateral,"n. a four-sided polygon
s. having four sides"
quadruple,"n. a quantity that is four times as great as another
v. increase fourfold
s. having four units or components
s. four times as great or many"
quaker,n. one who quakes and trembles with (or as with) fear
qualifier,n. a contestant who meets certain requirements and so qualifies to take part in the next stage of competition
quantifier,"n. (logic) a word (such as `some' or `all' or `no') that binds the variables in a logical proposition
n. (grammar) a word that expresses a quantity (as `fifteen' or `many')"
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
quartet,"n. four performers or singers who perform together
n. a set of four similar things considered as a unit
n. four people considered as a unit
n. a musical composition for four performers"
quartz,n. a hard glossy mineral consisting of silicon dioxide in crystal form; present in most rocks (especially sandstone and granite); yellow sand is quartz with iron oxide impurities
quell,v. overcome or allay
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
querulous,s habitually complaining
quibble,"n. an evasion of the point of an argument by raising irrelevant distinctions or objections
v. evade the truth of a point or question by raising irrelevant objections
v. argue over petty things"
quicksand,"n. a treacherous situation that tends to entrap and destroy
n. a pit filled with loose wet sand into which objects are sucked down"
quintessence,"n. the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies
n. the purest and most concentrated essence of something
n. the most typical example or representative of a type"
quintet,"n. a musical composition for five performers
n. five performers or singers who perform together
n. a set of five similar things considered as a unit"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
quitter,n. a person who gives up too easily
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
quixotic,s. not sensible about practical matters; idealistic and unrealistic
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
quotient,"n. the ratio of two quantities to be divided
n. the number obtained by division"
rabbi,"n. spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law
n. a Hebrew title of respect for a Jewish scholar or teacher"
rabid,a. of or infected by rabies
rabies,n. an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain
racer,"n. someone who drives racing cars at high speeds
n. a fast car that competes in races
n. an animal that races
n. slender fast-moving North American snakes"
racket,"n. a loud and disturbing noise
n. an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit
n. a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
v. make loud and annoying noises"
racketeer,"n. someone who commits crimes for profit (especially one who obtains money by fraud or extortion)
v. carry on illegal business activities involving crime"
radiance,"n. the amount of electromagnetic radiation leaving or arriving at a point on a surface
n. the quality of being bright and sending out rays of light
n. an attractive combination of good health and happiness"
radiant,s radiating or as if radiating light
raiser,n. a bridge partner who increases the partner's bid
rambler,"n. a person who takes long walks in the country
n. a person whose speech or writing is not well organized"
ramification,n. an arrangement of branching parts
rampage,"n. violently angry and destructive behavior
v. act violently, recklessly, or destructively"
rampart,n. an embankment built around a space for defensive purposes
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
rancour,n a feeling of deep and bitter anger and ill-will
rarity,"n. noteworthy scarcity
n. a rarified quality"
ratchet,"n. mechanical device consisting of a toothed wheel or rack engaged with a pawl that permits it to move in only one direction
v. move by degrees in one direction only"
rateable,s liable to payment of locally assessed property taxes
rationale,n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
ravine,n. a deep narrow steep-sided valley (especially one formed by running water)
ravish,"v force (someone) to have sex against their will
v hold spellbound"
rear-admiral,none
rearguard,n. a detachment assigned to protect the rear of a (retreating) military body
rearmament,n. the act of arming again
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
rebate,"n. a refund of some fraction of the amount paid
v. give a reduction in the price during a sale
v. cut a rebate in (timber or stone)
v. join with a rebate"
recapture,"n. a legal seizure by the government of profits beyond a fixed amount
n. the act of taking something back
v. experience anew
v. take up anew"
reciprocity,n. mutual exchange of commercial or other privileges
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
recompense,"n. payment or reward (as for service rendered)
n. the act of compensating for service or loss or injury"
reconciliation,"n. the reestablishing of cordial relations
n. getting two things to correspond"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
rectification,"n. (chemistry) the process of refinement or purification of a substance by distillation
n. the conversion of alternating current to direct current
n. determination of the length of a curve; finding a straight line equal in length to a given curve"
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
rectitude,n righteousness as a consequence of being honorable and honest
redbrick,s of or relating to British universities founded in the late 19th century or the 20th century
redemption,"n. (theology) the act of delivering from sin or saving from evil
n. repayment of the principal amount of a debt or security at or before maturity (as when a corporation repurchases its own stock)
n. the act of purchasing back something previously sold"
redolent,s. (used with `of' or `with') noticeably odorous
