alphabet,n.字母表
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色"
fat,"n.脂肪,肥肉;adj.肥大的,丰满的,肥的,胖的,油腻的;vt.养肥,在...中加入脂肪;vi.长肥;File Allocation Table,文件分配表"
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分"
married,"adj.已婚的,婚姻的"
single,"adj.单一的,单身的,单纯的,孤独的,专一的,个别的n.一个,单打,单精度型vt.选出vi.[棒]作一垒打"
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
ugly,"adj.丑陋的,难看的"
beautiful,"adj.美丽的,很好的"
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的"
ugly,"adj.丑陋的,难看的"
large,"adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大"
small,"adj.小的,少的"
big,"adj.大的,重要的,量大的,重要的adv.夸大地,顺利"
little,"n.少许,一会儿,短时间adj.很少的,矮小的,短暂的,琐碎的adv.很少,稍微,完全不"
noisy,"adj.吵杂的,聒噪的"
loud,"adj.高声的,不断的,喧吵的adv.高声地,大声地"
quiet,"adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)"
expensive,"adj.花费的,昂贵的"
cheap,"adj.便宜的,不值钱的"
easy,"adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息"
difficult,"adj.困难的,艰难的,(人)难相处的"
rich,"adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的"
poor,"adj.贫穷的,可怜的,乏味的,卑鄙的"
wife,n.妻子
husband,n.丈夫
mother,"n.母亲,妈妈"
father,"n.父亲,岳父,公(丈夫的父亲),祖先,前辈,长辈,神父,创始者vt.当...的父亲,保护,创立,治理,发明,培养"
daughter,"n.女儿adj.女儿的,如女儿的,关系如女儿的"
son,"n.儿子,女婿,(长者对年轻男子的称呼)孩子,<基督教>圣子,耶稣基督"
sister,"n.姐妹,姐,女会员,修女,妹vt.姐妹般对待"
brother,n.兄弟
grandmother,n.祖母
grandfather,"n.祖父,始祖"
granddaughter,n.孙女
grandson,n.孙子
aunt,"n.姑妈,伯母,舅妈,阿姨"
uncle,"n.伯父,叔父,姨丈,援助者"
niece,"n.侄女,甥女"
nephew,"n.侄子,外甥"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
mother,"n.母亲,妈妈"
father,"n.父亲,岳父,公(丈夫的父亲),祖先,前辈,长辈,神父,创始者vt.当...的父亲,保护,创立,治理,发明,培养"
parents,
son,"n.儿子,女婿,(长者对年轻男子的称呼)孩子,<基督教>圣子,耶稣基督"
daughter,"n.女儿adj.女儿的,如女儿的,关系如女儿的"
children,"n.(pl.)孩子,孩子们"
brother,n.兄弟
